,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Death_Rate,Population_15_64_rate,Population_65_above,Cotisation sociale,Life_expectancy_in_years,gov_health_exp_as_perc_of_gdp,undernourished_population_rate,population_rate_with_water_access,mortality_cvd_crd_cancer_diabete_30_70,uhc_service_coverage,population_growth_rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44
53,Equatorial Guinea,GNQ,2000,41.319,345748,339229,684977,17.9,0.512,46.84866156,49.092,13.738,370764.0,21468.0,,53.226,0.31905925,,51.0981422023709,28.6,20.0,4.47057515918696,45.973,1527.05637771592,42.14424474322658
54,Greece,GRC,2000,9.6,5383939,5421868,10805808,37.3,0.81,20.71409122,72.716,9.7,7381435.0,1826189.0,,77.8878048780488,4.46380281,,99.6861596905295,14.9,69.0,0.409041838238246,33.644,12072.9293569196,43.58061806904904
55,Guatemala,GTM,2000,34.505,5760216,5829545,11589761,16.7,0.55,35.86654107,45.332,6.19,6092976.0,444880.0,2.29334735748471,67.446,1.91270578,,86.5006228387363,14.9,40.0,2.43394364463754,40.01,1664.30774802438,43.30401966847981
56,Guyana,GUY,2000,25.772,378495,380557,759051,21.2,0.577,26.43412436,28.694,7.399,452948.0,28800.0,,64.483,1.78830874,,88.5382896920679,35.7,45.0,0.136711368532353,30.057,938.893297983287,47.66979410416062
57,Honduras,HND,2000,33.841,3364459,3292265,6656725,17.1,0.556,27.53958991,45.458,5.141,3608503.0,199636.0,,68.662,3.02285886,,85.351031542682,17.0,42.0,2.73138300029784,41.661,1079.6056663087,44.87375030962715
58,Croatia,HRV,2000,9.8,2144720,2323582,4468302,37.9,0.759,23.65186739,53.428,11.2,3000132.0,699705.0,,72.8078048780488,6.49740553,,98.6494084688423,22.9,71.0,-0.986434858645568,36.651,4952.37775298931,40.16064673024268
59,Haiti,HTI,2000,31.836,4150198,4210027,8360225,18.3,0.47,19.58669508,35.6,10.341,4675906.0,309658.0,,58.365,0.87098479,,56.23929167461,34.5,27.0,1.82614145032597,51.325,814.997919701067,43.871345718210385
60,Hungary,HUN,2000,9.6,4859206,5351765,10210971,37.5,0.773,21.3395071,64.575,13.3,6961575.0,1531882.0,,71.2463414634146,4.66643333,,99.9645781932888,29.1,70.0,-0.259764908288633,39.039,4624.28165670295,39.890289899631426
61,Indonesia,IDN,2000,21.86,107664942,106407480,214072421,23.7,0.595,23.34531803,42.002,7.383,137812628.0,10727782.0,,66.433,0.54974371,,75.2848191583704,25.6,29.0,1.44708848408903,48.139,770.865351580294,49.665604335334336
62,India,IND,2000,27.001,548223581,511410095,1059633675,21.6,0.491,70.47513018,27.667,8.701,640617507.0,47616579.0,,62.669,0.83442992,,79.879271219411,25.1,30.0,1.82218400218023,28.113,442.034778911498,46.45467274164776
63,Ireland,IRL,2000,14.4,1890633,1914541,3805174,31.5,0.847,11.0279213,59.155,8.2,2553492.0,424966.0,,76.5365853658537,4.57260036,,97.2116915316311,17.7,72.0,1.33304266586712,47.945,26334.5672050501,45.7204774205558
64,Iraq,IRQ,2000,36.25,12245808,12383050,24628858,17.0,0.589,50.92544334,68.496,6.172,13149937.0,781862.0,,66.817,,,80.8465216782676,29.4,52.0,3.33624669433987,8.934,1963.72283862715,43.553989382503076
65,Iceland,ISL,2000,15.3,140748,140457,281205,31.9,0.871,6.862278769,92.401,6.5,183208.0,32512.0,,79.6536585365854,7.18854856,,100.0,13.3,78.0,1.36919283329812,71.873,32096.3722613695,44.57090016715866
66,Israel,ISR,2000,21.7,3099279,3189721,6289000,26.7,0.844,23.32743848,91.203,6.0,3896240.0,627634.0,,78.9536585365854,4.28851175,,100.0,14.3,72.0,2.64233191305756,47.499,21630.7476087887,43.35394867786475
67,Italy,ITA,2000,9.5,27550271,29391838,56942108,39.2,0.841,24.24042054,67.222,9.8,38388464.0,10423840.0,,79.7780487804878,5.49627781,,99.5570595333996,13.6,70.0,0.045303631138613,30.394,20137.5912217673,40.71545885119918
68,Jamaica,JAM,2000,19.12,1293403,1318802,2612205,22.1,0.664,15.00473993,51.814,6.894,1585740.0,153804.0,,70.944,3.18738079,,93.140042023831,18.2,48.0,0.611850749006637,52.946,3447.30389648976,48.37837673888883
69,Jordan,JOR,2000,29.659,2625119,2431055,5056174,18.6,0.678,29.1775103,78.27,3.724,2879887.0,137016.0,,71.918,4.20303917,,98.5618157391789,23.9,65.0,2.10659408273097,9.422,1673.35812510644,46.41231893149267
70,Japan,JPN,2000,9.5,62126711,64716290,126843000,40.7,0.877,12.79177676,78.649,7.7,86028257.0,22584255.0,,81.0760975609756,5.65793514,,98.5041275829008,11.4,70.0,0.167275578113187,47.011,39169.3595701504,38.11984794405734
71,Kazakhstan,KAZ,2000,14.92,7086252,7797373,14883626,26.7,0.68,18.03449697,56.098,10.06,9745185.0,977767.0,0.0,65.45,2.11958146,,90.1456856906055,41.5,56.0,-0.300201486690526,56.067,1229.00096132728,46.738961238514406
