,Country Code,Year,Life_expectancy_in_years
790,VUT,2002,69.196
791,WLD,2002,68.3332219562297
792,WSM,2002,71.276
793,XKX,2002,74.676
794,YEM,2002,63.906
795,ZAF,2002,55.666
796,ZMB,2002,46.979
797,ZWE,2002,44.565
798,ABW,2003,73.752
799,AFE,2003,53.0220345898659
800,AFG,2003,57.344
801,AFW,2003,51.4033564775689
802,AGO,2003,49.617
803,ALB,2003,76.142
804,AND,2003,0.0
805,ARB,2003,67.8590028335005
806,ARE,2003,76.222
807,ARG,2003,74.08
808,ARM,2003,71.436
809,ASM,2003,0.0
810,ATG,2003,75.478
811,AUS,2003,80.2390243902439
812,AUT,2003,78.6317073170732
813,AZE,2003,66.756
814,BDI,2003,50.857
815,BEL,2003,78.1292682926829
816,BEN,2003,56.738
817,BFA,2003,51.793
818,BGD,2003,66.824
819,BGR,2003,72.0658536585366
820,BHR,2003,76.337
821,BHS,2003,72.402
822,BIH,2003,75.782
823,BLR,2003,68.5536585365854
824,BLZ,2003,68.909
825,BMU,2003,79.345
826,BOL,2003,63.635
827,BRA,2003,70.72
828,BRB,2003,74.472
829,BRN,2003,74.561
830,BTN,2003,64.696
831,BWA,2003,50.947
832,CAF,2003,45.76
833,CAN,2003,79.7151219512195
834,CEB,2003,73.3822527825258
835,CHE,2003,80.5365853658537
836,CHI,2003,79.618
837,CHL,2003,77.387
838,CHN,2003,73.371
839,CIV,2003,50.954
840,CMR,2003,53.883
841,COD,2003,52.827
842,COG,2003,55.948
843,COL,2003,72.361
844,COM,2003,59.258
845,CPV,2003,71.429
846,CRI,2003,78.072
847,CSS,2003,69.7958451987249
848,CUB,2003,76.773
849,CUW,2003,73.353512195122
850,CYM,2003,0.0
851,CYP,2003,77.788
852,CZE,2003,75.1707317073171
853,DEU,2003,78.3804878048781
854,DJI,2003,57.595
855,DMA,2003,71.438
856,DNK,2003,77.1439024390244
857,DOM,2003,70.265
858,DZA,2003,71.287
859,EAP,2003,71.9485362700451
860,EAR,2003,65.5196872923742
861,EAS,2003,72.8645142022922
862,ECA,2003,67.9585859395451
863,ECS,2003,73.6134514629794
864,ECU,2003,73.975
865,EGY,2003,68.402
866,EMU,2003,78.7053554347709
867,ERI,2003,59.409
868,ESP,2003,79.619512195122
869,EST,2003,71.3170731707317
870,ETH,2003,52.533
871,EUU,2003,77.5893359969316
872,FCS,2003,56.4124017147338
873,FIN,2003,78.3682926829268
874,FJI,2003,66.177
875,FRA,2003,79.1146341463415
876,FRO,2003,78.9439024390244
877,FSM,2003,70.76
878,GAB,2003,61.671
879,GBR,2003,78.4463414634146
880,GEO,2003,70.333
881,GHA,2003,59.111
882,GIB,2003,79.694
883,GIN,2003,53.678
884,GMB,2003,57.586
885,GNB,2003,51.405
886,GNQ,2003,54.581
887,GRC,2003,78.8414634146341
888,GRD,2003,73.188
889,GRL,2003,68.0224390243903
890,GTM,2003,68.797
891,GUM,2003,76.504
892,GUY,2003,64.6
893,HIC,2003,78.0298911718154
894,HKG,2003,81.3780487804878
895,HND,2003,69.507
896,HPC,2003,54.2296688765239
897,HRV,2003,74.6139024390244
898,HTI,2003,59.507
899,HUN,2003,72.3
900,IBD,2003,69.2564792281821
901,IBT,2003,66.6886964998408
902,IDA,2003,57.867306738238
903,IDB,2003,56.7018841471596
904,IDN,2003,67.413
905,IDX,2003,58.4508200570714
906,IMN,2003,76.096
907,IND,2003,64.094
908,INX,2003,0.0
909,IRL,2003,78.1390243902439
910,IRN,2003,69.823
911,IRQ,2003,65.643
912,ISL,2003,80.9634146341464
913,ISR,2003,79.6487804878049
914,ITA,2003,79.9829268292683
915,JAM,2003,70.806
916,JOR,2003,72.573
917,JPN,2003,81.76
918,KAZ,2003,65.74
919,KEN,2003,55.601
920,KGZ,2003,68.2560975609756
921,KHM,2003,62.523
922,KIR,2003,64.954
923,KNA,2003,70.768
924,KOR,2003,77.2146341463415
925,KWT,2003,76.985
926,LAC,2003,71.7801804724459
927,LAO,2003,60.031
928,LBN,2003,75.593
929,LBR,2003,53.042
930,LBY,2003,71.132
931,LCA,2003,71.771
932,LCN,2003,72.0215493356835
933,LDC,2003,57.3308531639038
934,LIC,2003,55.3095874754868
935,LIE,2003,79.9609756097561
936,LKA,2003,71.373
937,LMC,2003,63.5410569443878
938,LMY,2003,66.572829793812
939,LSO,2003,44.53
940,LTE,2003,72.3339155934004
941,LTU,2003,72.0609756097561
942,LUX,2003,77.7268292682927
943,LVA,2003,71.2658536585366
944,MAC,2003,81.501
945,MAF,2003,77.206
946,MAR,2003,67.915
947,MCO,2003,0.0
948,MDA,2003,67.419
949,MDG,2003,59.491
950,MDV,2003,74.06
951,MEA,2003,69.8601811862713
952,MEX,2003,74.274
953,MHL,2003,63.745
954,MIC,2003,67.5469663719917
955,MKD,2003,73.2414634146342
956,MLI,2003,52.893
957,MLT,2003,78.5463414634146
958,MMR,2003,60.98
959,MNA,2003,69.1433468828083
960,MNE,2003,73.9317317073171
