,economy,Year,population_growth_rate
5474,MEX,2020,0.727243815691995
5740,MEX,2021,0.559420832085433
155,MHL,2000,0.721837704584486
421,MHL,2001,0.347948103651383
687,MHL,2002,0.152420857906842
953,MHL,2003,-0.0055051427222192
1219,MHL,2004,-0.106492371991223
1485,MHL,2005,-0.180193480890142
1751,MHL,2006,-0.237689549465288
2017,MHL,2007,-0.314099624496591
2283,MHL,2008,-0.411668206131852
2549,MHL,2009,-0.415235819000647
2815,MHL,2010,-0.330813597773069
3081,MHL,2011,-0.836573256679686
3347,MHL,2012,-1.46046294872198
3613,MHL,2013,-1.64360804920741
3879,MHL,2014,-1.83357958458324
4145,MHL,2015,-2.0215255305986
4411,MHL,2016,-2.21210382968728
4677,MHL,2017,-2.39133636341706
4943,MHL,2018,-2.5716193468544
5209,MHL,2019,-2.78025337337267
5475,MHL,2020,-2.9840768300379
5741,MHL,2021,-3.18995490050083
156,MIC,2000,1.41907050637616
422,MIC,2001,1.39181561055611
688,MIC,2002,1.33376890883987
954,MIC,2003,1.29339779067227
1220,MIC,2004,1.28149522669699
1486,MIC,2005,1.25655619651724
1752,MIC,2006,1.21324726413741
2018,MIC,2007,1.18561051579182
2284,MIC,2008,1.18770057432683
2550,MIC,2009,1.19217666302931
2816,MIC,2010,1.19744222043239
3082,MIC,2011,1.21811704379692
3348,MIC,2012,1.24305092613372
3614,MIC,2013,1.25031608106406
3880,MIC,2014,1.23272120684102
4146,MIC,2015,1.19219540255354
4412,MIC,2016,1.1513357245428
4678,MIC,2017,1.130107914539
4944,MIC,2018,1.07579992911883
5210,MIC,2019,1.01683076678685
5476,MIC,2020,0.951463483342678
5742,MIC,2021,0.845532409971057
157,MKD,2000,0.455448702114895
423,MKD,2001,0.420168685369998
689,MKD,2002,-0.726260079023056
955,MKD,2003,0.326964187374614
1221,MKD,2004,0.284333738311281
1487,MKD,2005,0.211874117661892
1753,MKD,2006,0.165461471818753
2019,MKD,2007,0.16313293218841
2285,MKD,2008,0.163258078088837
2551,MKD,2009,0.18415802473701
2817,MKD,2010,0.21107377513823
3083,MKD,2011,0.171871346437471
3349,MKD,2012,0.121614265751721
3615,MKD,2013,0.144870083488649
3881,MKD,2014,0.166476984005751
4147,MKD,2015,0.133165884651483
4413,MKD,2016,0.109300286352773
4679,MKD,2017,0.0970341952851146
4945,MKD,2018,0.0826362901268217
5211,MKD,2019,0.022971838409121
5477,MKD,2020,-0.200664046750733
5743,MKD,2021,-0.359578821721077
158,MLI,2000,2.90782929642605
424,MLI,2001,3.02107830973822
690,MLI,2002,3.13442055916044
956,MLI,2003,3.20676010440896
1222,MLI,2004,3.26662811589565
1488,MLI,2005,3.30546040144123
1754,MLI,2006,3.30569182799157
